ID,最近一次使用消费券的折扣,历史使用优惠券折扣的最大值,历史购买总次数,最近一次消费金额,历史消费金额的平均值,历史使用优惠券的频率,历史使用优惠券的总次数,历史购买产品数量,最近一次购买宝贝数量,Action,next.1,next.2,next.3,next.4,next.5,next.6,next.7,next.8,next.9,Reward
2.0,2.0,4.0,23.0,108.0,177.41739130434783,1.0,23.0,26.0,1.0,2.0,2.0,4.0,24.0,108.0,174.525,1.0,24.0,27.0,1.0,68.0
2.0,2.0,4.0,24.0,108.0,174.525,1.0,24.0,27.0,1.0,2.0,2.0,4.0,25.0,199.0,175.50400000000002,1.0,25.0,28.0,1.0,138.0
2.0,2.0,4.0,25.0,199.0,175.50400000000002,1.0,25.0,28.0,1.0,2.0,2.0,4.0,26.0,108.0,172.90769230769232,1.0,26.0,29.0,1.0,68.0
2.0,2.0,4.0,26.0,108.0,172.90769230769232,1.0,26.0,29.0,1.0,2.0,2.0,4.0,26.0,108.0,172.90769230769232,1.0,26.0,29.0,1.0,0.0
2.0,2.0,4.0,26.0,108.0,172.90769230769232,1.0,26.0,29.0,1.0,3.0,3.0,4.0,27.0,108.0,170.5037037037037,1.0,27.0,30.0,2.0,57.85
2.0,3.0,4.0,27.0,108.0,170.5037037037037,1.0,27.0,30.0,2.0,2.0,2.0,4.0,28.0,399.0,178.66428571428574,1.0,28.0,32.0,1.0,306.96
2.0,2.0,4.0,28.0,399.0,178.66428571428574,1.0,28.0,32.0,1.0,2.0,2.0,4.0,29.0,250.1,181.12758620689658,1.0,29.0,33.0,1.0,168.72
2.0,2.0,4.0,29.0,250.1,181.12758620689658,1.0,29.0,33.0,1.0,2.0,2.0,4.0,30.0,199.0,181.72333333333336,1.0,30.0,34.0,2.0,138.0
2.0,2.0,4.0,30.0,199.0,181.72333333333336,1.0,30.0,34.0,2.0,4.0,4.0,4.0,31.0,299.0,185.50645161290325,1.0,31.0,36.0,1.0,96.03
2.0,4.0,4.0,31.0,299.0,185.50645161290325,1.0,31.0,36.0,1.0,2.0,2.0,4.0,32.0,108.0,183.08437500000002,1.0,32.0,37.0,1.0,68.0
2.0,2.0,4.0,32.0,108.0,183.08437500000002,1.0,32.0,37.0,1.0,3.0,3.0,4.0,33.0,187.9,183.23030303030305,1.0,33.0,38.0,1.0,80.9
2.0,3.0,4.0,33.0,187.9,183.23030303030305,1.0,33.0,38.0,1.0,1.0,1.0,4.0,34.0,399.0,189.5764705882353,1.0,34.0,39.0,1.0,366.25
