编号,最近一次使用消费券的折扣,历史使用优惠券折扣的最大值,历史购买总次数,最近一次消费金额,历史消费金额的平均值,历史使用优惠券的频率,历史使用优惠券的总次数,历史购买产品数量,Action,next.1,next.2,next.3,next.4,next.5,next.6,next.7,next.8,Reward
8.0,3.0,3.0,9.0,68.0,139.54333333333335,1.1111111111111112,10.0,10.0,2.0,2.0,3.0,10.0,99.8,135.56900000000002,1.1,11.0,11.0,99.8
8.0,2.0,3.0,10.0,99.8,135.56900000000002,1.1,11.0,11.0,1.0,1.0,3.0,11.0,344.05,154.5218181818182,1.0909090909090908,12.0,13.0,344.05
8.0,1.0,3.0,11.0,344.05,154.5218181818182,1.0909090909090908,12.0,13.0,0.0,0.0,3.0,12.0,209.0,159.06166666666667,1.0833333333333333,13.0,14.0,209.0
8.0,0.0,3.0,12.0,209.0,159.06166666666667,1.0833333333333333,13.0,14.0,2.0,2.0,3.0,13.0,164.16,159.45384615384617,1.0769230769230769,14.0,17.0,164.16
8.0,2.0,3.0,13.0,164.16,159.45384615384617,1.0769230769230769,14.0,17.0,1.0,1.0,3.0,14.0,304.57,169.81928571428574,1.0714285714285714,15.0,18.0,304.57
8.0,1.0,3.0,14.0,304.57,169.81928571428574,1.0714285714285714,15.0,18.0,1.0,1.0,3.0,15.0,344.02,181.43266666666668,1.0666666666666667,16.0,20.0,344.02
8.0,1.0,3.0,15.0,344.02,181.43266666666668,1.0666666666666667,16.0,20.0,1.0,1.0,3.0,16.0,68.0,174.34312500000001,1.0625,17.0,21.0,68.0
8.0,1.0,3.0,16.0,68.0,174.34312500000001,1.0625,17.0,21.0,1.0,1.0,3.0,17.0,68.0,168.08764705882353,1.0588235294117647,18.0,22.0,68.0
8.0,1.0,3.0,17.0,68.0,168.08764705882353,1.0588235294117647,18.0,22.0,1.0,1.0,3.0,18.0,68.0,162.52722222222224,1.0555555555555556,19.0,23.0,68.0
8.0,1.0,3.0,18.0,68.0,162.52722222222224,1.0555555555555556,19.0,23.0,3.0,3.0,3.0,19.0,96.44,159.04894736842107,1.0526315789473684,20.0,25.0,96.44
8.0,3.0,3.0,19.0,96.44,159.04894736842107,1.0526315789473684,20.0,25.0,2.0,2.0,3.0,20.0,81.1,155.1515,1.05,21.0,26.0,81.1
8.0,2.0,3.0,20.0,81.1,155.1515,1.05,21.0,26.0,2.0,2.0,3.0,21.0,83.9,151.75857142857143,1.0476190476190477,22.0,27.0,83.9
8.0,2.0,3.0,21.0,83.9,151.75857142857143,1.0476190476190477,22.0,27.0,3.0,3.0,3.0,21.0,83.9,151.75857142857143,1.0952380952380953,23.0,27.0,0.0
8.0,3.0,3.0,21.0,83.9,151.75857142857143,1.0952380952380953,23.0,27.0,1.0,1.0,3.0,22.0,136.0,151.04227272727275,1.0909090909090908,24.0,29.0,136.0
8.0,1.0,3.0,22.0,136.0,151.04227272727275,1.0909090909090908,24.0,29.0,2.0,2.0,3.0,23.0,306.96,157.8213043478261,1.0869565217391304,25.0,30.0,306.96
8.0,2.0,3.0,23.0,306.96,157.8213043478261,1.0869565217391304,25.0,30.0,0.0,0.0,3.0,24.0,323.45,164.7225,1.0833333333333333,26.0,31.0,323.45
8.0,0.0,3.0,24.0,323.45,164.7225,1.0833333333333333,26.0,31.0,2.0,2.0,3.0,25.0,115.42,162.7504,1.08,27.0,32.0,115.42
8.0,2.0,3.0,25.0,115.42,162.7504,1.08,27.0,32.0,3.0,3.0,3.0,25.0,115.42,162.7504,1.12,28.0,32.0,0.0
8.0,3.0,3.0,25.0,115.42,162.7504,1.12,28.0,32.0,1.0,1.0,3.0,26.0,318.0,168.72153846153847,1.1153846153846154,29.0,33.0,318.0
8.0,1.0,3.0,26.0,318.0,168.72153846153847,1.1153846153846154,29.0,33.0,0.0,0.0,3.0,27.0,209.0,170.21333333333334,1.1111111111111112,30.0,34.0,209.0
8.0,0.0,3.0,27.0,209.0,170.21333333333334,1.1111111111111112,30.0,34.0,2.0,2.0,3.0,28.0,83.25,167.10750000000002,1.1071428571428572,31.0,35.0,83.25
8.0,2.0,3.0,28.0,83.25,167.10750000000002,1.1071428571428572,31.0,35.0,2.0,2.0,3.0,29.0,115.21,165.31793103448277,1.103448275862069,32.0,36.0,115.21
8.0,2.0,3.0,29.0,115.21,165.31793103448277,1.103448275862069,32.0,36.0,1.0,1.0,3.0,30.0,318.0,170.40733333333336,1.1,33.0,37.0,318.0
8.0,1.0,3.0,30.0,318.0,170.40733333333336,1.1,33.0,37.0,2.0,2.0,3.0,31.0,182.36,170.79290322580644,1.096774193548387,34.0,39.0,182.36
8.0,2.0,3.0,31.0,182.36,170.79290322580644,1.096774193548387,34.0,39.0,3.0,3.0,3.0,32.0,72.51,167.7215625,1.09375,35.0,40.0,72.51
8.0,3.0,3.0,32.0,72.51,167.7215625,1.09375,35.0,40.0,2.0,2.0,3.0,33.0,99.8,165.66333333333336,1.0909090909090908,36.0,41.0,99.8
8.0,2.0,3.0,33.0,99.8,165.66333333333336,1.0909090909090908,36.0,41.0,1.0,1.0,3.0,34.0,68.0,162.7908823529412,1.088235294117647,37.0,42.0,68.0
8.0,1.0,3.0,34.0,68.0,162.7908823529412,1.088235294117647,37.0,42.0,2.0,2.0,3.0,35.0,197.61,163.78571428571428,1.0857142857142856,38.0,44.0,197.61
8.0,2.0,3.0,35.0,197.61,163.78571428571428,1.0857142857142856,38.0,44.0,3.0,3.0,3.0,36.0,115.6,162.44722222222222,1.0833333333333333,39.0,45.0,115.6
8.0,3.0,3.0,36.0,115.6,162.44722222222222,1.0833333333333333,39.0,45.0,2.0,2.0,3.0,37.0,99.8,160.75405405405408,1.0810810810810811,40.0,46.0,99.8
8.0,2.0,3.0,37.0,99.8,160.75405405405408,1.0810810810810811,40.0,46.0,1.0,1.0,3.0,38.0,410.84,167.33526315789476,1.0789473684210527,41.0,48.0,410.84
8.0,1.0,3.0,38.0,410.84,167.33526315789476,1.0789473684210527,41.0,48.0,1.0,1.0,3.0,39.0,136.62,166.54769230769233,1.0769230769230769,42.0,49.0,136.62
8.0,1.0,3.0,39.0,136.62,166.54769230769233,1.0769230769230769,42.0,49.0,1.0,1.0,3.0,40.0,68.0,164.084,1.075,43.0,50.0,68.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,386.0,386.0,1.0,1.0,2.0,386.0
9.0,1.0,1.0,1.0,386.0,386.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,326.96,356.48,1.0,2.0,3.0,326.96
9.0,0.0,1.0,2.0,326.96,356.48,1.0,2.0,3.0,2.0,2.0,2.0,3.0,99.8,270.92,1.0,3.0,4.0,99.8
9.0,2.0,2.0,3.0,99.8,270.92,1.0,3.0,4.0,2.0,2.0,2.0,4.0,83.47,224.0575,1.0,4.0,5.0,83.47
9.0,2.0,2.0,4.0,83.47,224.0575,1.0,4.0,5.0,1.0,1.0,2.0,5.0,175.32,214.31,1.0,5.0,6.0,175.32
9.0,1.0,2.0,5.0,175.32,214.31,1.0,5.0,6.0,2.0,2.0,2.0,6.0,112.85,197.39999999999998,1.0,6.0,8.0,112.85
9.0,2.0,2.0,6.0,112.85,197.39999999999998,1.0,6.0,8.0,2.0,2.0,2.0,7.0,158.56,191.85142857142856,1.0,7.0,10.0,158.56
9.0,2.0,2.0,7.0,158.56,191.85142857142856,1.0,7.0,10.0,2.0,2.0,2.0,8.0,96.81,179.97124999999997,1.0,8.0,11.0,96.81
10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,338.0,338.0,1.0,1.0,1.0,338.0
10.0,0.0,0.0,1.0,338.0,338.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,138.0,238.0,1.0,2.0,2.0,138.0
10.0,1.0,1.0,2.0,138.0,238.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,84.01,186.67,1.0,3.0,3.0,84.01
10.0,2.0,2.0,3.0,84.01,186.67,1.0,3.0,3.0,3.0,3.0,3.0,4.0,138.0,174.5025,1.0,4.0,4.0,138.0
10.0,3.0,3.0,4.0,138.0,174.5025,1.0,4.0,4.0,1.0,1.0,3.0,5.0,68.0,153.202,1.0,5.0,5.0,68.0
